iter	R2	RMSE
258	0.764698107	0.3253848135
259	0.7662355012	0.3243200866
260	0.7671646902	0.3236748759
261	0.7678255175	0.3232152266
262	0.7685055893	0.322741508
263	0.7696715748	0.3219276936
264	0.7714569367	0.3206775752
265	0.7721031565	0.3202238863
266	0.7736894739	0.3191074519
267	0.7748330824	0.3183001624
268	0.7762572427	0.3172919559
269	0.7764791619	0.3171345639
270	0.7771301791	0.3166723909
271	0.7774894003	0.316417082
272	0.7783166561	0.3158283424
273	0.7791623286	0.3152253594
274	0.780518238	0.3142561518
275	0.7815991759	0.3134813478
276	0.7822142859	0.3130395879
277	0.783891322	0.3118319944
278	0.7850439666	0.3109992837
279	0.7865892894	0.3098793775
280	0.7871897904	0.3094430968
281	0.7875256994	0.3091987811
282	0.7881076612	0.3087750468
283	0.788886149	0.3082073086
284	0.7906213224	0.3069380963
285	0.7916582339	0.3061771243
286	0.7928720698	0.3052839003
287	0.7934260102	0.3048754033
288	0.7944345553	0.3041302542
289	0.7949701979	0.3037337592
290	0.7959324467	0.3030201771
291	0.7970869766	0.3021617798
292	0.7976746171	0.301723929
293	0.7991213701	0.3006432363
294	0.799694282	0.3002142084
295	0.8006999634	0.2994596125
296	0.8012015461	0.2990825468
297	0.8021536112	0.2983655196
298	0.8035776875	0.2972897795
299	0.8041212951	0.296878113
300	0.8053242247	0.2959651157
301	0.8068240606	0.2948228128
302	0.8081921212	0.2937769991
303	0.8095293898	0.2927511135
304	0.8107543619	0.291808211
305	0.8110520113	0.2915786398
306	0.811531685	0.2912082959
307	0.8131155637	0.2899820638
308	0.8144099523	0.2889760901
309	0.8148167964	0.2886591746
310	0.8153162086	0.2882696759
311	0.8158140257	0.2878808967
312	0.8171121813	0.2868646006
313	0.8175989303	0.2864826066
314	0.8184738713	0.2857946811
315	0.8199463744	0.2846331666
316	0.821169754	0.2836645443
317	0.8220896445	0.2829340282
318	0.8223205043	0.2827503983
319	0.8237172394	0.2816368579
320	0.824631162	0.2809058484
321	0.8254163317	0.2802763004
322	0.8258717342	0.2799105105
323	0.8270404071	0.2789696105
324	0.8280754054	0.2781336745
325	0.8290069504	0.2773791404
326	0.8299873352	0.2765828238
327	0.8311662605	0.2756221962
328	0.8318602628	0.2750551312
329	0.8322868531	0.2747059859
330	0.8330113027	0.2741120372
331	0.8336881943	0.2735559141
332	0.8341188156	0.2732015335
333	0.8351247237	0.272371923
334	0.8362307642	0.2714568031
335	0.837485905	0.2704145688
336	0.8377478866	0.2701965193
337	0.8381180845	0.2698881003
338	0.8393151984	0.2688883396
339	0.8395881136	0.2686598958
340	0.8397686622	0.2685086607
341	0.8401720963	0.2681704191
342	0.8413094068	0.2672145861
343	0.8424430736	0.2662584007
344	0.8427061072	0.2660360552
345	0.8440192223	0.2649232716
346	0.8455513325	0.2636189657
347	0.8467790466	0.2625691203
348	0.8471704558	0.2622335341
349	0.8485938504	0.2610095071
350	0.8497449653	0.2600154088
351	0.8508879605	0.2590245478
352	0.8522166639	0.257867911
353	0.8527875118	0.2573693914
354	0.8538635147	0.2564270865
355	0.8542148457	0.2561186591
356	0.8554393355	0.2550407853
357	0.8559747195	0.2545680722
358	0.8569836165	0.2536748807
359	0.8580712034	0.252708488
360	0.8584781039	0.2523459786
361	0.8589886922	0.2518903554
362	0.8601147892	0.2508825584
363	0.8604941576	0.250542131
364	0.8614900284	0.2496462743
365	0.8618555603	0.2493166447
366	0.8625441681	0.2486944848
367	0.86300373	0.2482784014
368	0.8633415344	0.2479721109
369	0.8643901942	0.2470188616
370	0.865319787	0.2461707599
371	0.8662666427	0.2453038942
372	0.8665904576	0.2450067312
373	0.8672411456	0.2444085064
374	0.8676542098	0.2440279855
375	0.8684347528	0.2433073127
376	0.8693985352	0.2424144997
377	0.8701923061	0.2416767022
378	0.8710983711	0.2408317667
379	0.8719930528	0.2399945277
380	0.8725297322	0.2394909011
381	0.8728243608	0.2392139672
382	0.8736807837	0.2384071523
383	0.8745653335	0.2375709633
384	0.8753016802	0.2368726233
385	0.8761062623	0.2361072085
386	0.8769290968	0.2353218548
387	0.8771714756	0.2350900164
388	0.8778586332	0.2344314948
389	0.8783126154	0.2339954148
390	0.8785452824	0.2337716076
391	0.8792237924	0.2331177073
392	0.88005715	0.2323120574
393	0.8808079595	0.2315838109
394	0.8810317081	0.231366343
395	0.8812472818	0.231156627
396	0.8818892814	0.230530942
397	0.8823140747	0.2301160084
398	0.8824810572	0.2299526966
399	0.8832759547	0.2291736777
400	0.8834235133	0.2290287751
401	0.8838339176	0.2286252749
402	0.8842131015	0.2282518359
403	0.8850185771	0.2274565294
404	0.8856270287	0.2268539109
405	0.8863923151	0.2260936807
406	0.8871206225	0.2253678035
407	0.8877033877	0.2247852946
408	0.8883956927	0.2240913264
409	0.8887864239	0.223698706
410	0.888942821	0.2235413595
411	0.8894992947	0.2229806073
412	0.8898582552	0.2226181376
413	0.8907737856	0.2216909732
414	0.8913453333	0.2211101917
415	0.8919544714	0.2204895282
416	0.8925018643	0.219930284
417	0.8931487131	0.2192675922
418	0.8936751864	0.218726742
